"precinct","type","candidate","votes","party","office"
"LOWER PAXTON TWP--8TH PRECINCT","total","Biden","204","DEM","President"
"LOWER PAXTON TWP--8TH PRECINCT","total","Gabbard","3","OTHER","President"
"LOWER PAXTON TWP--8TH PRECINCT","total","Write-In","0","OTHER","President"
"LOWER PAXTON TWP--9TH PRECINCT","total","Sanders","18","OTHER","President"
"LOWER PAXTON TWP--9TH PRECINCT","total","Biden","100","DEM","President"
"LOWER PAXTON TWP--9TH PRECINCT","total","Gabbard","6","OTHER","President"
"LOWER PAXTON TWP--9TH PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--10TH PRECINCT","total","Sanders","38","OTHER","President"
"LOWER PAXTON TWP--10TH PRECINCT","total","Biden","186","DEM","President"
"LOWER PAXTON TWP--10TH PRECINCT","total","Gabbard","2","OTHER","President"
"LOWER PAXTON TWP--10TH PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--11TH PRECINCT","total","Sanders","37","OTHER","President"
"LOWER PAXTON TWP--11TH PRECINCT","total","Biden","217","DEM","President"
"LOWER PAXTON TWP--11TH PRECINCT","total","Gabbard","11","OTHER","President"
"LOWER PAXTON TWP--11TH PRECINCT","total","Write-In","0","OTHER","President"
"LOWER PAXTON TWP--12TH PRECINCT","total","Sanders","29","OTHER","President"
"LOWER PAXTON TWP--12TH PRECINCT","total","Biden","210","DEM","President"
"LOWER PAXTON TWP--12TH PRECINCT","total","Gabbard","5","OTHER","President"
"LOWER PAXTON TWP--12TH PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--13TH PRECINCT","total","Sanders","40","OTHER","President"
"LOWER PAXTON TWP--13TH PRECINCT","total","Biden","197","DEM","President"
"LOWER PAXTON TWP--13TH PRECINCT","total","Gabbard","9","OTHER","President"
"LOWER PAXTON TWP--13TH PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--14TH PRECINCT","total","Sanders","22","OTHER","President"
"LOWER PAXTON TWP--14TH PRECINCT","total","Biden","173","DEM","President"
"LOWER PAXTON TWP--14TH PRECINCT","total","Gabbard","7","OTHER","President"
"LOWER PAXTON TWP--14TH PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--15TH PRECINCT","total","Sanders","79","OTHER","President"
"LOWER PAXTON TWP--15TH PRECINCT","total","Biden","335","DEM","President"
"LOWER PAXTON TWP--15TH PRECINCT","total","Gabbard","2","OTHER","President"
"LOWER PAXTON TWP--15TH PRECINCT","total","Write-In","5","OTHER","President"
"LOWER PAXTON TWP--16TH PRECINCT","total","Sanders","57","OTHER","President"
"LOWER PAXTON TWP--16TH PRECINCT","total","Biden","289","DEM","President"
"LOWER PAXTON TWP--16TH PRECINCT","total","Gabbard","9","OTHER","President"
"LOWER PAXTON TWP--16TH PRECINCT","total","Write-In","3","OTHER","President"
"LOWER PAXTON TWP--17TH PRECINCT","total","Sanders","30","OTHER","President"
"LOWER PAXTON TWP--17TH PRECINCT","total","Biden","251","DEM","President"
"LOWER PAXTON TWP--17TH PRECINCT","total","Gabbard","4","OTHER","President"
"LOWER PAXTON TWP--17TH PRECINCT","total","Write-In","3","OTHER","President"
"LOWER PAXTON TWP--18TH PRECINCT","total","Sanders","29","OTHER","President"
"LOWER PAXTON TWP--18TH PRECINCT","total","Biden","201","DEM","President"
"LOWER PAXTON TWP--18TH PRECINCT","total","Gabbard","4","OTHER","President"
"LOWER PAXTON TWP--18TH PRECINCT","total","Write-In","0","OTHER","President"
"LOWER PAXTON TWP--19TH PRECINCT","total","Sanders","33","OTHER","President"
"LOWER PAXTON TWP--19TH PRECINCT","total","Biden","332","DEM","President"
"LOWER PAXTON TWP--19TH PRECINCT","total","Gabbard","10","OTHER","President"
"LOWER PAXTON TWP--19TH PRECINCT","total","Write-In","2","OTHER","President"
"LOWER PAXTON TWP--20TH PRECINCT","total","Sanders","44","OTHER","President"
"LOWER PAXTON TWP--20TH PRECINCT","total","Biden","154","DEM","President"
"LOWER PAXTON TWP--20TH PRECINCT","total","Gabbard","8","OTHER","President"
"LOWER PAXTON TWP--20TH PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--21ST PRECINCT","total","Sanders","53","OTHER","President"
"LOWER PAXTON TWP--21ST PRECINCT","total","Biden","353","DEM","President"
"LOWER PAXTON TWP--21ST PRECINCT","total","Gabbard","9","OTHER","President"
"LOWER PAXTON TWP--21ST PRECINCT","total","Write-In","6","OTHER","President"
"LOWER PAXTON TWP--22ND PRECINCT","total","Sanders","14","OTHER","President"
"LOWER PAXTON TWP--22ND PRECINCT","total","Biden","196","DEM","President"
"LOWER PAXTON TWP--22ND PRECINCT","total","Gabbard","7","OTHER","President"
"LOWER PAXTON TWP--22ND PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--23RD PRECINCT","total","Sanders","37","OTHER","President"
"LOWER PAXTON TWP--23RD PRECINCT","total","Biden","213","DEM","President"
"LOWER PAXTON TWP--23RD PRECINCT","total","Gabbard","3","OTHER","President"
"LOWER PAXTON TWP--23RD PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--24TH PRECINCT","total","Sanders","25","OTHER","President"
"LOWER PAXTON TWP--24TH PRECINCT","total","Biden","158","DEM","President"
"LOWER PAXTON TWP--24TH PRECINCT","total","Gabbard","5","OTHER","President"
"LOWER PAXTON TWP--24TH PRECINCT","total","Write-In","2","OTHER","President"
"LOWER PAXTON TWP--25TH PRECINCT","total","Sanders","33","OTHER","President"
"LOWER PAXTON TWP--25TH PRECINCT","total","Biden","253","DEM","President"
"LOWER PAXTON TWP--25TH PRECINCT","total","Gabbard","3","OTHER","President"
"LOWER PAXTON TWP--25TH PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--26TH PRECINCT","total","Sanders","37","OTHER","President"
"LOWER PAXTON TWP--26TH PRECINCT","total","Biden","258","DEM","President"
"LOWER PAXTON TWP--26TH PRECINCT","total","Gabbard","3","OTHER","President"
"LOWER PAXTON TWP--26TH PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--27TH PRECINCT","total","Sanders","36","OTHER","President"
"LOWER PAXTON TWP--27TH PRECINCT","total","Biden","215","DEM","President"
"LOWER PAXTON TWP--27TH PRECINCT","total","Gabbard","2","OTHER","President"
"LOWER PAXTON TWP--27TH PRECINCT","total","Write-In","2","OTHER","President"
"LOWER SWATARA TWP--1ST PRECINCT","total","Sanders","31","OTHER","President"
"LOWER SWATARA TWP--1ST PRECINCT","total","Biden","213","DEM","President"
"LOWER SWATARA TWP--1ST PRECINCT","total","Gabbard","9","OTHER","President"
"LOWER SWATARA TWP--1ST PRECINCT","total","Write-In","4","OTHER","President"
"LOWER SWATARA TWP--2ND PRECINCT","total","Sanders","38","OTHER","President"
"LOWER SWATARA TWP--2ND PRECINCT","total","Biden","144","DEM","President"
"LOWER SWATARA TWP--2ND PRECINCT","total","Gabbard","6","OTHER","President"
"LOWER SWATARA TWP--2ND PRECINCT","total","Write-In","4","OTHER","President"
"LOWER SWATARA TWP--3RD PRECINCT","total","Sanders","48","OTHER","President"
"LOWER SWATARA TWP--3RD PRECINCT","total","Biden","199","DEM","President"
"LOWER SWATARA TWP--3RD PRECINCT","total","Gabbard","8","OTHER","President"
"LOWER SWATARA TWP--3RD PRECINCT","total","Write-In","9","OTHER","President"
"LOWER SWATARA TWP--4TH PRECINCT","total","Sanders","19","OTHER","President"
"LOWER SWATARA TWP--4TH PRECINCT","total","Biden","120","DEM","President"
"LOWER SWATARA TWP--4TH PRECINCT","total","Gabbard","7","OTHER","President"
"LOWER SWATARA TWP--4TH PRECINCT","total","Write-In","4","OTHER","President"
"LYKENS TOWNSHIP","total","Sanders","7","OTHER","President"
"LYKENS TOWNSHIP","total","Biden","28","DEM","President"
"LYKENS TOWNSHIP","total","Gabbard","1","OTHER","President"
"LYKENS TOWNSHIP","total","Write-In","0","OTHER","President"
"MIDDLE PAXTON TWP--1ST PRECINCT","total","Sanders","24","OTHER","President"
"MIDDLE PAXTON TWP--1ST PRECINCT","total","Biden","120","DEM","President"
"MIDDLE PAXTON TWP--1ST PRECINCT","total","Gabbard","8","OTHER","President"
"MIDDLE PAXTON TWP--1ST PRECINCT","total","Write-In","3","OTHER","President"
"MIDDLE PAXTON TWP--2ND PRECINCT","total","Sanders","35","OTHER","President"
"MIDDLE PAXTON TWP--2ND PRECINCT","total","Biden","166","DEM","President"
"MIDDLE PAXTON TWP--2ND PRECINCT","total","Gabbard","4","OTHER","President"
"MIDDLE PAXTON TWP--2ND PRECINCT","total","Write-In","1","OTHER","President"
"MIDDLE PAXTON TWP--3RD PRECINCT","total","Sanders","31","OTHER","President"
"MIDDLE PAXTON TWP--3RD PRECINCT","total","Biden","130","DEM","President"
"MIDDLE PAXTON TWP--3RD PRECINCT","total","Gabbard","5","OTHER","President"
"MIDDLE PAXTON TWP--3RD PRECINCT","total","Write-In","4","OTHER","President"
"MIFFLIN TOWNSHIP","total","Sanders","9","OTHER","President"
"MIFFLIN TOWNSHIP","total","Biden","23","DEM","President"
"MIFFLIN TOWNSHIP","total","Gabbard","2","OTHER","President"
"MIFFLIN TOWNSHIP","total","Write-In","0","OTHER","President"
"REED TOWNSHIP","total","Sanders","4","OTHER","President"
"REED TOWNSHIP","total","Biden","10","DEM","President"
"REED TOWNSHIP","total","Gabbard","2","OTHER","President"
"REED TOWNSHIP","total","Write-In","0","OTHER","President"
"RUSH TOWNSHIP","total","Sanders","0","OTHER","President"
"RUSH TOWNSHIP","total","Biden","3","DEM","President"
"RUSH TOWNSHIP","total","Gabbard","1","OTHER","President"
"RUSH TOWNSHIP","total","Write-In","0","OTHER","President"
"SOUTH HANOVER TWP--1ST PRECINCT","total","Sanders","27","OTHER","President"
"SOUTH HANOVER TWP--1ST PRECINCT","total","Biden","126","DEM","President"
"SOUTH HANOVER TWP--1ST PRECINCT","total","Gabbard","3","OTHER","President"
"SOUTH HANOVER TWP--1ST PRECINCT","total","Write-In","8","OTHER","President"
"SOUTH HANOVER TWP--2ND PRECINCT","total","Sanders","50","OTHER","President"
"SOUTH HANOVER TWP--2ND PRECINCT","total","Biden","298","DEM","President"
"SOUTH HANOVER TWP--2ND PRECINCT","total","Gabbard","8","OTHER","President"
"SOUTH HANOVER TWP--2ND PRECINCT","total","Write-In","6","OTHER","President"
"SOUTH HANOVER TWP--3RD PRECINCT","total","Sanders","43","OTHER","President"
"SOUTH HANOVER TWP--3RD PRECINCT","total","Biden","237","DEM","President"
"SOUTH HANOVER TWP--3RD PRECINCT","total","Gabbard","8","OTHER","President"
"SOUTH HANOVER TWP--3RD PRECINCT","total","Write-In","9","OTHER","President"
"SUSQUEHANNA TWP--1ST WARD","total","Sanders","95","OTHER","President"
"SUSQUEHANNA TWP--1ST WARD","total","Biden","458","DEM","President"
"SUSQUEHANNA TWP--1ST WARD","total","Gabbard","7","OTHER","President"
"SUSQUEHANNA TWP--1ST WARD","total","Write-In","8","OTHER","President"
"SUSQUEHANNA TWP--2ND WARD","total","Sanders","81","OTHER","President"
"SUSQUEHANNA TWP--2ND WARD","total","Biden","524","DEM","President"
"SUSQUEHANNA TWP--2ND WARD","total","Gabbard","11","OTHER","President"
"SUSQUEHANNA TWP--2ND WARD","total","Write-In","7","OTHER","President"
"SUSQUEHANNA TWP--3RD WARD","total","Sanders","82","OTHER","President"
"SUSQUEHANNA TWP--3RD WARD","total","Biden","519","DEM","President"
"SUSQUEHANNA TWP--3RD WARD","total","Gabbard","7","OTHER","President"
"SUSQUEHANNA TWP--3RD WARD","total","Write-In","8","OTHER","President"
"SUSQUEHANNA TWP--4TH WARD","total","Sanders","80","OTHER","President"
"SUSQUEHANNA TWP--4TH WARD","total","Biden","379","DEM","President"
"SUSQUEHANNA TWP--4TH WARD","total","Gabbard","9","OTHER","President"
"SUSQUEHANNA TWP--4TH WARD","total","Write-In","8","OTHER","President"
"SUSQUEHANNA TWP--5TH WARD","total","Sanders","45","OTHER","President"
"SUSQUEHANNA TWP--5TH WARD","total","Biden","368","DEM","President"
"SUSQUEHANNA TWP--5TH WARD","total","Gabbard","5","OTHER","President"
"SUSQUEHANNA TWP--5TH WARD","total","Write-In","7","OTHER","President"
"SUSQUEHANNA TWP--6TH WARD","total","Sanders","83","OTHER","President"
"SUSQUEHANNA TWP--6TH WARD","total","Biden","382","DEM","President"
"SUSQUEHANNA TWP--6TH WARD","total","Gabbard","12","OTHER","President"
"SUSQUEHANNA TWP--6TH WARD","total","Write-In","10","OTHER","President"
"SUSQUEHANNA TWP--7TH WARD","total","Sanders","82","OTHER","President"
"SUSQUEHANNA TWP--7TH WARD","total","Biden","473","DEM","President"
"SUSQUEHANNA TWP--7TH WARD","total","Gabbard","12","OTHER","President"
"SUSQUEHANNA TWP--7TH WARD","total","Write-In","6","OTHER","President"
"SUSQUEHANNA TWP--8TH WARD","total","Sanders","80","OTHER","President"
"SUSQUEHANNA TWP--8TH WARD","total","Biden","574","DEM","President"
"SUSQUEHANNA TWP--8TH WARD","total","Gabbard","7","OTHER","President"
"SUSQUEHANNA TWP--8TH WARD","total","Write-In","12","OTHER","President"
"SUSQUEHANNA TWP--9TH WARD","total","Sanders","95","OTHER","President"
"SUSQUEHANNA TWP--9TH WARD","total","Biden","504","DEM","President"
"SUSQUEHANNA TWP--9TH WARD","total","Gabbard","14","OTHER","President"
"SUSQUEHANNA TWP--9TH WARD","total","Write-In","6","OTHER","President"
"SWATARA TOWNSHIP--1ST PRECINCT","total","Sanders","35","OTHER","President"
"SWATARA TOWNSHIP--1ST PRECINCT","total","Biden","234","DEM","President"
"SWATARA TOWNSHIP--1ST PRECINCT","total","Gabbard","9","OTHER","President"
"SWATARA TOWNSHIP--1ST PRECINCT","total","Write-In","3","OTHER","President"
"SWATARA TOWNSHIP--2ND PRECINCT","total","Sanders","36","OTHER","President"
"SWATARA TOWNSHIP--2ND PRECINCT","total","Biden","185","DEM","President"
"SWATARA TOWNSHIP--2ND PRECINCT","total","Gabbard","6","OTHER","President"
"SWATARA TOWNSHIP--2ND PRECINCT","total","Write-In","1","OTHER","President"
"SWATARA TOWNSHIP--3RD PRECINCT","total","Sanders","75","OTHER","President"
"SWATARA TOWNSHIP--3RD PRECINCT","total","Biden","334","DEM","President"
"SWATARA TOWNSHIP--3RD PRECINCT","total","Gabbard","6","OTHER","President"
"SWATARA TOWNSHIP--3RD PRECINCT","total","Write-In","6","OTHER","President"
"SWATARA TOWNSHIP--4TH PRECINCT","total","Sanders","60","OTHER","President"
"SWATARA TOWNSHIP--4TH PRECINCT","total","Biden","241","DEM","President"
"SWATARA TOWNSHIP--4TH PRECINCT","total","Gabbard","7","OTHER","President"
"SWATARA TOWNSHIP--4TH PRECINCT","total","Write-In","5","OTHER","President"
"SWATARA TOWNSHIP--5TH PRECINCT","total","Sanders","61","OTHER","President"
"SWATARA TOWNSHIP--5TH PRECINCT","total","Biden","293","DEM","President"
"SWATARA TOWNSHIP--5TH PRECINCT","total","Gabbard","12","OTHER","President"
"SWATARA TOWNSHIP--5TH PRECINCT","total","Write-In","5","OTHER","President"
"SWATARA TOWNSHIP--6TH PRECINCT","total","Sanders","80","OTHER","President"
"SWATARA TOWNSHIP--6TH PRECINCT","total","Biden","347","DEM","President"
"SWATARA TOWNSHIP--6TH PRECINCT","total","Gabbard","13","OTHER","President"
"SWATARA TOWNSHIP--6TH PRECINCT","total","Write-In","7","OTHER","President"
"SWATARA TOWNSHIP--7TH PRECINCT","total","Sanders","57","OTHER","President"
"SWATARA TOWNSHIP--7TH PRECINCT","total","Biden","328","DEM","President"
"SWATARA TOWNSHIP--7TH PRECINCT","total","Gabbard","7","OTHER","President"
"SWATARA TOWNSHIP--7TH PRECINCT","total","Write-In","9","OTHER","President"
"SWATARA TOWNSHIP--8TH PRECINCT","total","Sanders","55","OTHER","President"
"SWATARA TOWNSHIP--8TH PRECINCT","total","Biden","250","DEM","President"
"SWATARA TOWNSHIP--8TH PRECINCT","total","Gabbard","7","OTHER","President"
"SWATARA TOWNSHIP--8TH PRECINCT","total","Write-In","5","OTHER","President"
"SWATARA TOWNSHIP--9TH PRECINCT","total","Sanders","72","OTHER","President"
"SWATARA TOWNSHIP--9TH PRECINCT","total","Biden","230","DEM","President"
"SWATARA TOWNSHIP--9TH PRECINCT","total","Gabbard","7","OTHER","President"
"SWATARA TOWNSHIP--9TH PRECINCT","total","Write-In","1","OTHER","President"
"SWATARA TOWNSHIP--10TH PRECINCT","total","Sanders","38","OTHER","President"
"SWATARA TOWNSHIP--10TH PRECINCT","total","Biden","160","DEM","President"
"SWATARA TOWNSHIP--10TH PRECINCT","total","Gabbard","5","OTHER","President"
"SWATARA TOWNSHIP--10TH PRECINCT","total","Write-In","5","OTHER","President"
"UPPER PAXTON TWP--1ST PRECINCT","total","Sanders","19","OTHER","President"
"UPPER PAXTON TWP--1ST PRECINCT","total","Biden","101","DEM","President"
"UPPER PAXTON TWP--1ST PRECINCT","total","Gabbard","3","OTHER","President"
"UPPER PAXTON TWP--1ST PRECINCT","total","Write-In","6","OTHER","President"
"UPPER PAXTON TWP--2ND PRECINCT","total","Sanders","15","OTHER","President"
"UPPER PAXTON TWP--2ND PRECINCT","total","Biden","49","DEM","President"
"UPPER PAXTON TWP--2ND PRECINCT","total","Gabbard","2","OTHER","President"
"UPPER PAXTON TWP--2ND PRECINCT","total","Write-In","0","OTHER","President"
"WASHINGTON TOWNSHIP","total","Sanders","22","OTHER","President"
"WASHINGTON TOWNSHIP","total","Biden","93","DEM","President"
"WASHINGTON TOWNSHIP","total","Gabbard","5","OTHER","President"
"WASHINGTON TOWNSHIP","total","Write-In","7","OTHER","President"
"WAYNE TOWNSHIP","total","Sanders","23","OTHER","President"
"WAYNE TOWNSHIP","total","Biden","60","DEM","President"
"WAYNE TOWNSHIP","total","Gabbard","4","OTHER","President"
"WAYNE TOWNSHIP","total","Write-In","3","OTHER","President"
"WEST HANOVER TWP--1ST PRECINCT","total","Sanders","15","OTHER","President"
"WEST HANOVER TWP--1ST PRECINCT","total","Biden","90","DEM","President"
"WEST HANOVER TWP--1ST PRECINCT","total","Gabbard","3","OTHER","President"
"WEST HANOVER TWP--1ST PRECINCT","total","Write-In","5","OTHER","President"
"WEST HANOVER TWP--2ND PRECINCT","total","Sanders","25","OTHER","President"
"WEST HANOVER TWP--2ND PRECINCT","total","Biden","108","DEM","President"
"WEST HANOVER TWP--2ND PRECINCT","total","Gabbard","4","OTHER","President"
"WEST HANOVER TWP--2ND PRECINCT","total","Write-In","2","OTHER","President"
"WEST HANOVER TWP--3RD PRECINCT","total","Sanders","24","OTHER","President"
"WEST HANOVER TWP--3RD PRECINCT","total","Biden","186","DEM","President"
"WEST HANOVER TWP--3RD PRECINCT","total","Gabbard","2","OTHER","President"
"WEST HANOVER TWP--3RD PRECINCT","total","Write-In","3","OTHER","President"
"WEST HANOVER TWP--4TH PRECINCT","total","Sanders","24","OTHER","President"
"WEST HANOVER TWP--4TH PRECINCT","total","Biden","123","DEM","President"
"WEST HANOVER TWP--4TH PRECINCT","total","Gabbard","2","OTHER","President"
"WEST HANOVER TWP--4TH PRECINCT","total","Write-In","0","OTHER","President"
"WEST HANOVER TWP--5TH PRECINCT","total","Sanders","31","OTHER","President"
"WEST HANOVER TWP--5TH PRECINCT","total","Biden","171","DEM","President"
"WEST HANOVER TWP--5TH PRECINCT","total","Gabbard","7","OTHER","President"
"WEST HANOVER TWP--5TH PRECINCT","total","Write-In","3","OTHER","President"
"WEST HANOVER TWP--6TH PRECINCT","total","Sanders","31","OTHER","President"
"WEST HANOVER TWP--6TH PRECINCT","total","Biden","150","DEM","President"
"WEST HANOVER TWP--6TH PRECINCT","total","Gabbard","0","OTHER","President"
"WEST HANOVER TWP--6TH PRECINCT","total","Write-In","2","OTHER","President"
"WEST HANOVER TWP--7TH PRECINCT","total","Sanders","19","OTHER","President"
"WEST HANOVER TWP--7TH PRECINCT","total","Biden","146","DEM","President"
"WEST HANOVER TWP--7TH PRECINCT","total","Gabbard","4","OTHER","President"
"WEST HANOVER TWP--7TH PRECINCT","total","Write-In","2","OTHER","President"
"WICONISCO TWP--1ST PRECINCT","total","Sanders","6","OTHER","President"
"WICONISCO TWP--1ST PRECINCT","total","Biden","20","DEM","President"
"WICONISCO TWP--1ST PRECINCT","total","Gabbard","1","OTHER","President"
"WICONISCO TWP--1ST PRECINCT","total","Write-In","2","OTHER","President"
"WICONISCO TWP--2ND PRECINCT","total","Sanders","2","OTHER","President"
"WICONISCO TWP--2ND PRECINCT","total","Biden","23","DEM","President"
"WICONISCO TWP--2ND PRECINCT","total","Gabbard","0","OTHER","President"
"WICONISCO TWP--2ND PRECINCT","total","Write-In","2","OTHER","President"
"WILLIAMS TWP","total","Sanders","12","OTHER","President"
"WILLIAMS TWP","total","Biden","37","DEM","President"
"WILLIAMS TWP","total","Gabbard","1","OTHER","President"
"WILLIAMS TWP","total","Write-In","2","OTHER","President"
