"precinct","type","candidate","votes","party","office"
"Cocalico West Twp - Schoeneck Dist","total","Gabbard",7,"OTHER","President"
"Cocalico West Twp - Schoeneck Dist","total","Write-In",2,"OTHER","President"
"Colerain Twp","total","Sanders",25,"OTHER","President"
"Colerain Twp","total","Biden",98,"DEM","President"
"Colerain Twp","total","Gabbard",4,"OTHER","President"
"Colerain Twp","total","Write-In",3,"OTHER","President"
"Conestoga Twp","total","Sanders",57,"OTHER","President"
"Conestoga Twp","total","Biden",170,"DEM","President"
"Conestoga Twp","total","Gabbard",11,"OTHER","President"
"Conestoga Twp","total","Write-In",1,"OTHER","President"
"Conoy Twp","total","Sanders",30,"OTHER","President"
"Conoy Twp","total","Biden",111,"DEM","President"
"Conoy Twp","total","Gabbard",9,"OTHER","President"
"Conoy Twp","total","Write-In",4,"OTHER","President"
"Donegal East Twp - Maytown Dist","total","Sanders",41,"OTHER","President"
"Donegal East Twp - Maytown Dist","total","Biden",114,"DEM","President"
"Donegal East Twp - Maytown Dist","total","Gabbard",3,"OTHER","President"
"Donegal East Twp - Maytown Dist","total","Write-In",5,"OTHER","President"
"Donegal East Twp - Springville Dist","total","Sanders",70,"OTHER","President"
"Donegal East Twp - Springville Dist","total","Biden",167,"DEM","President"
"Donegal East Twp - Springville Dist","total","Gabbard",13,"OTHER","President"
"Donegal East Twp - Springville Dist","total","Write-In",8,"OTHER","President"
"Donegal East Twp - Maytown West Dist","total","Sanders",40,"OTHER","President"
"Donegal East Twp - Maytown West Dist","total","Biden",99,"DEM","President"
"Donegal East Twp - Maytown West Dist","total","Gabbard",1,"OTHER","President"
"Donegal West Twp - 1st Dist","total","Sanders",25,"OTHER","President"
"Donegal West Twp - 1st Dist","total","Biden",72,"DEM","President"
"Donegal West Twp - 1st Dist","total","Gabbard",4,"OTHER","President"
"Donegal West Twp - 1st Dist","total","Write-In",2,"OTHER","President"
"Donegal West Twp - 2nd Dist","total","Sanders",43,"OTHER","President"
"Donegal West Twp - 2nd Dist","total","Biden",186,"DEM","President"
"Donegal West Twp - 2nd Dist","total","Gabbard",7,"OTHER","President"
"Donegal West Twp - 2nd Dist","total","Write-In",4,"OTHER","President"
"Donegal West Twp - 3rd Dist","total","Sanders",12,"OTHER","President"
"Donegal West Twp - 3rd Dist","total","Biden",311,"DEM","President"
"Donegal West Twp - 3rd Dist","total","Gabbard",8,"OTHER","President"
"Donegal West Twp - 3rd Dist","total","Write-In",9,"OTHER","President"
"Donegal West Twp - 4th Dist","total","Sanders",22,"OTHER","President"
"Donegal West Twp - 4th Dist","total","Biden",119,"DEM","President"
"Donegal West Twp - 4th Dist","total","Gabbard",2,"OTHER","President"
"Drumore Twp","total","Sanders",14,"OTHER","President"
"Drumore Twp","total","Biden",62,"DEM","President"
"Drumore Twp","total","Gabbard",2,"OTHER","President"
"Drumore Twp","total","Write-In",3,"OTHER","President"
"Drumore East Twp","total","Sanders",31,"OTHER","President"
"Drumore East Twp","total","Biden",103,"DEM","President"
"Drumore East Twp","total","Gabbard",7,"OTHER","President"
"Earl Twp - Martindale Dist","total","Sanders",10,"OTHER","President"
"Earl Twp - Martindale Dist","total","Biden",53,"DEM","President"
"Earl Twp - Martindale Dist","total","Gabbard",5,"OTHER","President"
"Earl Twp - New Holland Dist","total","Sanders",23,"OTHER","President"
"Earl Twp - New Holland Dist","total","Biden",137,"DEM","President"
"Earl Twp - New Holland Dist","total","Gabbard",3,"OTHER","President"
"Earl Twp - New Holland Dist","total","Write-In",2,"OTHER","President"
"Earl East Twp - Blue Ball Dist","total","Sanders",15,"OTHER","President"
"Earl East Twp - Blue Ball Dist","total","Biden",80,"DEM","President"
"Earl East Twp - Blue Ball Dist","total","Gabbard",4,"OTHER","President"
"Earl East Twp - Terre Hill Dist","total","Sanders",14,"OTHER","President"
"Earl East Twp - Terre Hill Dist","total","Biden",62,"DEM","President"
"Earl East Twp - Terre Hill Dist","total","Gabbard",1,"OTHER","President"
"Earl East Twp - Terre Hill Dist","total","Write-In",1,"OTHER","President"
"Earl West Twp - Earlville Dist","total","Sanders",33,"OTHER","President"
"Earl West Twp - Earlville Dist","total","Biden",97,"DEM","President"
"Earl West Twp - Earlville Dist","total","Gabbard",3,"OTHER","President"
"Earl West Twp - Earlville Dist","total","Write-In",4,"OTHER","President"
"Earl West Twp - Farmersville Dist","total","Sanders",17,"OTHER","President"
"Earl West Twp - Farmersville Dist","total","Biden",108,"DEM","President"
"Earl West Twp - Farmersville Dist","total","Gabbard",3,"OTHER","President"
"Earl West Twp - Farmersville Dist","total","Write-In",2,"OTHER","President"
"Earl West Twp - North District","total","Sanders",35,"OTHER","President"
"Earl West Twp - North District","total","Biden",99,"DEM","President"
"Earl West Twp - North District","total","Gabbard",5,"OTHER","President"
"Earl West Twp - North District","total","Write-In",2,"OTHER","President"
"Eden Twp","total","Sanders",5,"OTHER","President"
"Eden Twp","total","Biden",55,"DEM","President"
"Eden Twp","total","Gabbard",3,"OTHER","President"
"Eden Twp","total","Write-In",3,"OTHER","President"
"Elizabeth Twp","total","Sanders",27,"OTHER","President"
"Elizabeth Twp","total","Biden",144,"DEM","President"
"Elizabeth Twp","total","Gabbard",10,"OTHER","President"
"Elizabeth Twp","total","Write-In",7,"OTHER","President"
"Ephrata Twp - Lincoln Dist","total","Sanders",57,"OTHER","President"
"Ephrata Twp - Lincoln Dist","total","Biden",150,"DEM","President"
"Ephrata Twp - Lincoln Dist","total","Gabbard",6,"OTHER","President"
"Ephrata Twp - Lincoln Dist","total","Write-In",7,"OTHER","President"
"Ephrata Twp - Murrell Dist","total","Sanders",41,"OTHER","President"
"Ephrata Twp - Murrell Dist","total","Biden",164,"DEM","President"
"Ephrata Twp - Murrell Dist","total","Gabbard",11,"OTHER","President"
"Ephrata Twp - Murrell Dist","total","Write-In",5,"OTHER","President"
"Ephrata Twp - Trout Run Dist","total","Sanders",23,"OTHER","President"
"Ephrata Twp - Trout Run Dist","total","Biden",97,"DEM","President"
"Ephrata Twp - Trout Run Dist","total","Gabbard",2,"OTHER","President"
"Ephrata Twp - Trout Run Dist","total","Write-In",3,"OTHER","President"
"Fulton Twp","total","Sanders",16,"OTHER","President"
"Fulton Twp","total","Biden",70,"DEM","President"
"Fulton Twp","total","Gabbard",3,"OTHER","President"
"Fulton Twp","total","Write-In",1,"OTHER","President"
"Hempfield East Twp - Barrcrest Dist","total","Sanders",38,"OTHER","President"
"Hempfield East Twp - Barrcrest Dist","total","Biden",121,"DEM","President"
"Hempfield East Twp - Barrcrest Dist","total","Gabbard",4,"OTHER","President"
"Hempfield East Twp - Barrcrest Dist","total","Write-In",2,"OTHER","President"
"Hempfield East Twp - Centerville Dist","total","Sanders",44,"OTHER","President"
"Hempfield East Twp - Centerville Dist","total","Biden",194,"DEM","President"
"Hempfield East Twp - Centerville Dist","total","Gabbard",2,"OTHER","President"
"Hempfield East Twp - Centerville Dist","total","Write-In",3,"OTHER","President"
"Hempfield East Twp - Cherry Hill Dist","total","Sanders",44,"OTHER","President"
"Hempfield East Twp - Cherry Hill Dist","total","Biden",88,"DEM","President"
"Hempfield East Twp - Cherry Hill Dist","total","Gabbard",4,"OTHER","President"
"Hempfield East Twp - Cherry Hill Dist","total","Write-In",1,"OTHER","President"
"Hempfield East Twp - Chestnut Ridge Dist","total","Sanders",55,"OTHER","President"
"Hempfield East Twp - Chestnut Ridge Dist","total","Biden",292,"DEM","President"
"Hempfield East Twp - Chestnut Ridge Dist","total","Gabbard",7,"OTHER","President"
"Hempfield East Twp - Chestnut Ridge Dist","total","Write-In",4,"OTHER","President"
"Hempfield East Twp - Friendly Dist","total","Sanders",30,"OTHER","President"
"Hempfield East Twp - Friendly Dist","total","Biden",131,"DEM","President"
"Hempfield East Twp - Friendly Dist","total","Gabbard",4,"OTHER","President"
"Hempfield East Twp - Friendly Dist","total","Write-In",3,"OTHER","President"
"Hempfield East Twp - Spring Dist","total","Sanders",29,"OTHER","President"
"Hempfield East Twp - Spring Dist","total","Biden",212,"DEM","President"
"Hempfield East Twp - Spring Dist","total","Gabbard",5,"OTHER","President"
"Hempfield East Twp - Spring Dist","total","Write-In",3,"OTHER","President"
"Hempfield East Twp - Hempland Dist","total","Sanders",16,"OTHER","President"
"Hempfield East Twp - Hempland Dist","total","Biden",73,"DEM","President"
"Hempfield East Twp - Hempland Dist","total","Gabbard",1,"OTHER","President"
"Hempfield East Twp - Indian Springs Dist","total","Sanders",38,"OTHER","President"
"Hempfield East Twp - Indian Springs Dist","total","Biden",161,"DEM","President"
"Hempfield East Twp - Indian Springs Dist","total","Gabbard",7,"OTHER","President"
"Hempfield East Twp - Indian Springs Dist","total","Write-In",6,"OTHER","President"
"Hempfield East Twp - Kings District","total","Sanders",32,"OTHER","President"
"Hempfield East Twp - Kings District","total","Biden",110,"DEM","President"
"Hempfield East Twp - Kings District","total","Gabbard",2,"OTHER","President"
"Hempfield East Twp - Kings District","total","Write-In",3,"OTHER","President"
"Hempfield East Twp - Landisville Dist","total","Sanders",61,"OTHER","President"
"Hempfield East Twp - Landisville Dist","total","Biden",163,"DEM","President"
"Hempfield East Twp - Landisville Dist","total","Gabbard",6,"OTHER","President"
"Hempfield East Twp - Landisville Dist","total","Write-In",3,"OTHER","President"
"Hempfield East Twp - Millcreek Dist","total","Sanders",33,"OTHER","President"
"Hempfield East Twp - Millcreek Dist","total","Biden",173,"DEM","President"
"Hempfield East Twp - Millcreek Dist","total","Gabbard",3,"OTHER","President"
"Hempfield East Twp - Millcreek Dist","total","Write-In",5,"OTHER","President"
"Hempfield East Twp - Petersburg Dist","total","Sanders",15,"OTHER","President"
"Hempfield East Twp - Petersburg Dist","total","Biden",79,"DEM","President"
"Hempfield East Twp - Petersburg Dist","total","Gabbard",5,"OTHER","President"
"Hempfield East Twp - Petersburg Dist","total","Write-In",1,"OTHER","President"
"Hempfield East Twp - Pleasant View Dist","total","Sanders",66,"OTHER","President"
"Hempfield East Twp - Pleasant View Dist","total","Biden",257,"DEM","President"
"Hempfield East Twp - Pleasant View Dist","total","Gabbard",7,"OTHER","President"
"Hempfield East Twp - Pleasant View Dist","total","Write-In",1,"OTHER","President"
"Hempfield East Twp - Rohrerstown Dist","total","Sanders",35,"OTHER","President"
"Hempfield East Twp - Rohrerstown Dist","total","Biden",232,"DEM","President"
"Hempfield East Twp - Rohrerstown Dist","total","Gabbard",5,"OTHER","President"
"Hempfield East Twp - Rohrerstown Dist","total","Write-In",1,"OTHER","President"
"Hempfield East Twp - Scotland Dist","total","Sanders",28,"OTHER","President"
"Hempfield East Twp - Scotland Dist","total","Biden",179,"DEM","President"
"Hempfield East Twp - Scotland Dist","total","Gabbard",3,"OTHER","President"
"Hempfield East Twp - Scotland Dist","total","Write-In",2,"OTHER","President"
"Hempfield West Twp - Chestnut Hill Dist","total","Sanders",38,"OTHER","President"
"Hempfield West Twp - Chestnut Hill Dist","total","Biden",211,"DEM","President"
"Hempfield West Twp - Chestnut Hill Dist","total","Gabbard",5,"OTHER","President"
"Hempfield West Twp - Chestnut Hill Dist","total","Write-In",4,"OTHER","President"
"Hempfield West Twp - Farmdale Dist","total","Sanders",37,"OTHER","President"
"Hempfield West Twp - Farmdale Dist","total","Biden",143,"DEM","President"
"Hempfield West Twp - Farmdale Dist","total","Gabbard",9,"OTHER","President"
"Hempfield West Twp - Farmdale Dist","total","Write-In",2,"OTHER","President"
"Hempfield West Twp - Ironville Dist","total","Sanders",50,"OTHER","President"
"Hempfield West Twp - Ironville Dist","total","Biden",154,"DEM","President"
"Hempfield West Twp - Ironville Dist","total","Gabbard",8,"OTHER","President"
"Hempfield West Twp - Ironville Dist","total","Write-In",4,"OTHER","President"
"Hempfield West Twp - Silver Spring Dist","total","Sanders",43,"OTHER","President"
"Hempfield West Twp - Silver Spring Dist","total","Biden",125,"DEM","President"
"Hempfield West Twp - Silver Spring Dist","total","Gabbard",2,"OTHER","President"
"Hempfield West Twp - Silver Spring Dist","total","Write-In",2,"OTHER","President"
"Hempfield West Twp - Oyster Point Dist","total","Sanders",49,"OTHER","President"
"Hempfield West Twp - Oyster Point Dist","total","Biden",204,"DEM","President"
"Hempfield West Twp - Oyster Point Dist","total","Gabbard",5,"OTHER","President"
"Hempfield West Twp - Oyster Point Dist","total","Write-In",4,"OTHER","President"
"Hempfield West Twp - Highland Park Dist","total","Sanders",33,"OTHER","President"
"Hempfield West Twp - Highland Park Dist","total","Biden",119,"DEM","President"
"Hempfield West Twp - Highland Park Dist","total","Gabbard",3,"OTHER","President"
"Hempfield West Twp - Highland Park Dist","total","Write-In",2,"OTHER","President"
"Hempfield West Twp - Salunga Dist","total","Sanders",44,"OTHER","President"
"Hempfield West Twp - Salunga Dist","total","Biden",116,"DEM","President"
"Hempfield West Twp - Salunga Dist","total","Gabbard",4,"OTHER","President"
"Hempfield West Twp - Salunga Dist","total","Write-In",1,"OTHER","President"
"Lampeter East Twp - 1st Dist","total","Sanders",41,"OTHER","President"
"Lampeter East Twp - 1st Dist","total","Biden",166,"DEM","President"
"Lampeter East Twp - 1st Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 1st Dist","total","Write-In",5,"OTHER","President"
"Lampeter East Twp - 2nd Dist","total","Sanders",43,"OTHER","President"
"Lampeter East Twp - 2nd Dist","total","Biden",188,"DEM","President"
"Lampeter East Twp - 2nd Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 2nd Dist","total","Write-In",10,"OTHER","President"
"Lampeter East Twp - 3rd Dist","total","Sanders",19,"OTHER","President"
"Lampeter East Twp - 3rd Dist","total","Biden",65,"DEM","President"
"Lampeter East Twp - 4th Dist","total","Sanders",45,"OTHER","President"
"Lampeter East Twp - 4th Dist","total","Biden",120,"DEM","President"
"Lampeter East Twp - 4th Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 4th Dist","total","Write-In",2,"OTHER","President"
"Lampeter East Twp - 5th Dist","total","Sanders",33,"OTHER","President"
"Lampeter East Twp - 5th Dist","total","Biden",135,"DEM","President"
"Lampeter East Twp - 5th Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 5th Dist","total","Write-In",4,"OTHER","President"
"Lampeter East Twp - 6th Dist","total","Sanders",17,"OTHER","President"
"Lampeter East Twp - 6th Dist","total","Biden",86,"DEM","President"
"Lampeter East Twp - 6th Dist","total","Gabbard",2,"OTHER","President"
"Lampeter East Twp - 6th Dist","total","Write-In",1,"OTHER","President"
"Lampeter East Twp - 7th Dist","total","Sanders",32,"OTHER","President"
"Lampeter East Twp - 7th Dist","total","Biden",135,"DEM","President"
"Lampeter East Twp - 7th Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 7th Dist","total","Write-In",1,"OTHER","President"
"Lampeter East Twp - 8th Dist","total","Sanders",44,"OTHER","President"
"Lampeter East Twp - 8th Dist","total","Biden",151,"DEM","President"
"Lampeter East Twp - 8th Dist","total","Gabbard",3,"OTHER","President"
"Lampeter East Twp - 8th Dist","total","Write-In",1,"OTHER","President"
"Lampeter West Twp - Lampeter Dist","total","Sanders",36,"OTHER","President"
"Lampeter West Twp - Lampeter Dist","total","Biden",158,"DEM","President"
"Lampeter West Twp - Lampeter Dist","total","Gabbard",5,"OTHER","President"
"Lampeter West Twp - Lampeter Dist","total","Write-In",4,"OTHER","President"
"Lampeter West Twp - Lyndon Dist","total","Sanders",50,"OTHER","President"
"Lampeter West Twp - Lyndon Dist","total","Biden",167,"DEM","President"
"Lampeter West Twp - Lyndon Dist","total","Gabbard",1,"OTHER","President"
"Lampeter West Twp - Lyndon Dist","total","Write-In",3,"OTHER","President"
"Lampeter West Twp - Willow Street Dist","total","Sanders",38,"OTHER","President"
"Lampeter West Twp - Willow Street Dist","total","Biden",172,"DEM","President"
"Lampeter West Twp - Willow Street Dist","total","Gabbard",3,"OTHER","President"
"Lampeter West Twp - Willow Street Dist","total","Write-In",3,"OTHER","President"
"Lampeter West Twp - Locust Dist","total","Sanders",23,"OTHER","President"
"Lampeter West Twp - Locust Dist","total","Biden",334,"DEM","President"
"Lampeter West Twp - Locust Dist","total","Gabbard",10,"OTHER","President"
"Lampeter West Twp - Locust Dist","total","Write-In",3,"OTHER","President"
"Lampeter West Twp - Millport Dist","total","Sanders",33,"OTHER","President"
"Lampeter West Twp - Millport Dist","total","Biden",208,"DEM","President"
"Lampeter West Twp - Millport Dist","total","Gabbard",4,"OTHER","President"
"Lampeter West Twp - Millport Dist","total","Write-In",2,"OTHER","President"
"Lampeter West Twp - Lakes Dist","total","Sanders",7,"OTHER","President"
"Lampeter West Twp - Lakes Dist","total","Biden",252,"DEM","President"
"Lampeter West Twp - Lakes Dist","total","Gabbard",2,"OTHER","President"
"Lampeter West Twp - Lakes Dist","total","Write-In",4,"OTHER","President"
"Lampeter West Twp - Windy Hill Dist","total","Sanders",54,"OTHER","President"
"Lampeter West Twp - Windy Hill Dist","total","Biden",259,"DEM","President"
"Lampeter West Twp - Windy Hill Dist","total","Gabbard",5,"OTHER","President"
"Lampeter West Twp - Windy Hill Dist","total","Write-In",6,"OTHER","President"
"Lancaster Twp - 1st Dist","total","Sanders",35,"OTHER","President"
"Lancaster Twp - 1st Dist","total","Biden",183,"DEM","President"
"Lancaster Twp - 1st Dist","total","Gabbard",3,"OTHER","President"
"Lancaster Twp - 1st Dist","total","Write-In",3,"OTHER","President"
"Lancaster Twp - 2nd Dist","total","Sanders",52,"OTHER","President"
"Lancaster Twp - 2nd Dist","total","Biden",117,"DEM","President"
"Lancaster Twp - 2nd Dist","total","Gabbard",6,"OTHER","President"
"Lancaster Twp - 2nd Dist","total","Write-In",1,"OTHER","President"
"Lancaster Twp - 3rd Dist","total","Sanders",29,"OTHER","President"
"Lancaster Twp - 3rd Dist","total","Biden",97,"DEM","President"
"Lancaster Twp - 3rd Dist","total","Gabbard",3,"OTHER","President"
"Lancaster Twp - 3rd Dist","total","Write-In",1,"OTHER","President"
"Lancaster Twp - 4th Dist","total","Sanders",66,"OTHER","President"
"Lancaster Twp - 4th Dist","total","Biden",171,"DEM","President"
"Lancaster Twp - 4th Dist","total","Gabbard",7,"OTHER","President"
"Lancaster Twp - 4th Dist","total","Write-In",2,"OTHER","President"
"Lancaster Twp - 5th Dist","total","Sanders",87,"OTHER","President"
"Lancaster Twp - 5th Dist","total","Biden",225,"DEM","President"
"Lancaster Twp - 5th Dist","total","Gabbard",4,"OTHER","President"
"Lancaster Twp - 5th Dist","total","Write-In",6,"OTHER","President"
"Lancaster Twp - 6th Dist","total","Sanders",39,"OTHER","President"
"Lancaster Twp - 6th Dist","total","Biden",163,"DEM","President"
"Lancaster Twp - 6th Dist","total","Gabbard",2,"OTHER","President"
"Lancaster Twp - 6th Dist","total","Write-In",3,"OTHER","President"
"Lancaster Twp - 7th Dist","total","Sanders",75,"OTHER","President"
"Lancaster Twp - 7th Dist","total","Biden",289,"DEM","President"
"Lancaster Twp - 7th Dist","total","Gabbard",2,"OTHER","President"
"Lancaster Twp - 7th Dist","total","Write-In",4,"OTHER","President"
"Lancaster Twp - 8th Dist","total","Sanders",85,"OTHER","President"
"Lancaster Twp - 8th Dist","total","Biden",285,"DEM","President"
"Lancaster Twp - 8th Dist","total","Gabbard",2,"OTHER","President"
"Lancaster Twp - 8th Dist","total","Write-In",3,"OTHER","President"
"Lancaster Twp - 9th Dist","total","Sanders",74,"OTHER","President"
"Lancaster Twp - 9th Dist","total","Biden",275,"DEM","President"
"Lancaster Twp - 9th Dist","total","Gabbard",6,"OTHER","President"
"Lancaster Twp - 9th Dist","total","Write-In",6,"OTHER","President"
"Leacock Twp","total","Sanders",11,"OTHER","President"
"Leacock Twp","total","Biden",100,"DEM","President"
"Leacock Twp","total","Gabbard",2,"OTHER","President"
"Leacock Upper Twp - Bareville Dist","total","Sanders",40,"OTHER","President"
"Leacock Upper Twp - Bareville Dist","total","Biden",104,"DEM","President"
"Leacock Upper Twp - Bareville Dist","total","Gabbard",4,"OTHER","President"
"Leacock Upper Twp - Bareville Dist","total","Write-In",1,"OTHER","President"
"Leacock Upper Twp - Leacock Dist","total","Sanders",17,"OTHER","President"
"Leacock Upper Twp - Leacock Dist","total","Biden",90,"DEM","President"
"Leacock Upper Twp - Leacock Dist","total","Gabbard",1,"OTHER","President"
"Leacock Upper Twp - Leola Dist","total","Sanders",30,"OTHER","President"
"Leacock Upper Twp - Leola Dist","total","Biden",77,"DEM","President"
"Leacock Upper Twp - Leola Dist","total","Gabbard",6,"OTHER","President"
"Leacock Upper Twp - Leola Dist","total","Write-In",1,"OTHER","President"
"Little Britain Twp","total","Sanders",26,"OTHER","President"
"Little Britain Twp","total","Biden",115,"DEM","President"
"Little Britain Twp","total","Gabbard",6,"OTHER","President"
"Little Britain Twp","total","Write-In",3,"OTHER","President"
"Manheim Twp - 1st Dist","total","Sanders",24,"OTHER","President"
"Manheim Twp - 1st Dist","total","Biden",154,"DEM","President"
"Manheim Twp - 1st Dist","total","Gabbard",2,"OTHER","President"
"Manheim Twp - 2nd Dist","total","Sanders",26,"OTHER","President"
"Manheim Twp - 2nd Dist","total","Biden",240,"DEM","President"
"Manheim Twp - 2nd Dist","total","Gabbard",5,"OTHER","President"
"Manheim Twp - 2nd Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 3rd Dist","total","Sanders",59,"OTHER","President"
"Manheim Twp - 3rd Dist","total","Biden",166,"DEM","President"
"Manheim Twp - 3rd Dist","total","Gabbard",1,"OTHER","President"
"Manheim Twp - 3rd Dist","total","Write-In",1,"OTHER","President"
"Manheim Twp - 4th Dist","total","Sanders",57,"OTHER","President"
"Manheim Twp - 4th Dist","total","Biden",158,"DEM","President"
"Manheim Twp - 4th Dist","total","Gabbard",2,"OTHER","President"
"Manheim Twp - 4th Dist","total","Write-In",4,"OTHER","President"
"Manheim Twp - 5th Dist","total","Sanders",44,"OTHER","President"
"Manheim Twp - 5th Dist","total","Biden",167,"DEM","President"
"Manheim Twp - 5th Dist","total","Gabbard",3,"OTHER","President"
"Manheim Twp - 5th Dist","total","Write-In",8,"OTHER","President"
"Manheim Twp - 6th Dist","total","Sanders",43,"OTHER","President"
"Manheim Twp - 6th Dist","total","Biden",181,"DEM","President"
"Manheim Twp - 6th Dist","total","Gabbard",1,"OTHER","President"
"Manheim Twp - 6th Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 7th Dist - 41st","total","Sanders",42,"OTHER","President"
"Manheim Twp - 7th Dist - 41st","total","Biden",132,"DEM","President"
"Manheim Twp - 7th Dist - 41st","total","Gabbard",2,"OTHER","President"
"Manheim Twp - 7th Dist - 41st","total","Write-In",1,"OTHER","President"
"Manheim Twp - 7th Dist - 96th","total","Sanders",10,"OTHER","President"
"Manheim Twp - 7th Dist - 96th","total","Biden",27,"DEM","President"
"Manheim Twp - 7th Dist - 96th","total","Gabbard",1,"OTHER","President"
"Manheim Twp - 8th Dist","total","Sanders",41,"OTHER","President"
"Manheim Twp - 8th Dist","total","Biden",156,"DEM","President"
"Manheim Twp - 8th Dist","total","Gabbard",6,"OTHER","President"
"Manheim Twp - 8th Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 9th Dist","total","Sanders",40,"OTHER","President"
"Manheim Twp - 9th Dist","total","Biden",141,"DEM","President"
"Manheim Twp - 9th Dist","total","Gabbard",1,"OTHER","President"
"Manheim Twp - 9th Dist","total","Write-In",1,"OTHER","President"
"Manheim Twp - 10th Dist","total","Sanders",62,"OTHER","President"
"Manheim Twp - 10th Dist","total","Biden",191,"DEM","President"
"Manheim Twp - 10th Dist","total","Gabbard",3,"OTHER","President"
"Manheim Twp - 10th Dist","total","Write-In",3,"OTHER","President"
"Manheim Twp - 11th Dist","total","Sanders",56,"OTHER","President"
"Manheim Twp - 11th Dist","total","Biden",155,"DEM","President"
"Manheim Twp - 11th Dist","total","Gabbard",6,"OTHER","President"
"Manheim Twp - 11th Dist","total","Write-In",1,"OTHER","President"
"Manheim Twp - 12th Dist","total","Sanders",31,"OTHER","President"
"Manheim Twp - 12th Dist","total","Biden",165,"DEM","President"
"Manheim Twp - 12th Dist","total","Gabbard",5,"OTHER","President"
"Manheim Twp - 12th Dist","total","Write-In",1,"OTHER","President"
"Manheim Twp - 13th Dist","total","Sanders",52,"OTHER","President"
"Manheim Twp - 13th Dist","total","Biden",224,"DEM","President"
"Manheim Twp - 13th Dist","total","Gabbard",6,"OTHER","President"
"Manheim Twp - 13th Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 14th Dist","total","Sanders",28,"OTHER","President"
"Manheim Twp - 14th Dist","total","Biden",186,"DEM","President"
"Manheim Twp - 14th Dist","total","Gabbard",3,"OTHER","President"
"Manheim Twp - 14th Dist","total","Write-In",4,"OTHER","President"
"Manheim Twp - 15th Dist","total","Sanders",49,"OTHER","President"
"Manheim Twp - 15th Dist","total","Biden",194,"DEM","President"
"Manheim Twp - 15th Dist","total","Gabbard",4,"OTHER","President"
"Manheim Twp - 15th Dist","total","Write-In",7,"OTHER","President"
"Manheim Twp - 16th Dist","total","Sanders",58,"OTHER","President"
"Manheim Twp - 16th Dist","total","Biden",320,"DEM","President"
"Manheim Twp - 16th Dist","total","Gabbard",6,"OTHER","President"
"Manheim Twp - 16th Dist","total","Write-In",5,"OTHER","President"
"Manheim Twp - 17th Dist","total","Sanders",37,"OTHER","President"
"Manheim Twp - 17th Dist","total","Biden",157,"DEM","President"
"Manheim Twp - 17th Dist","total","Gabbard",6,"OTHER","President"
"Manheim Twp - 18th Dist","total","Sanders",38,"OTHER","President"
"Manheim Twp - 18th Dist","total","Biden",153,"DEM","President"
"Manheim Twp - 18th Dist","total","Gabbard",3,"OTHER","President"
"Manheim Twp - 18th Dist","total","Write-In",1,"OTHER","President"
"Manheim Twp - 19th Dist","total","Sanders",44,"OTHER","President"
"Manheim Twp - 19th Dist","total","Biden",176,"DEM","President"
"Manheim Twp - 19th Dist","total","Gabbard",2,"OTHER","President"
"Manheim Twp - 19th Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 20th Dist","total","Sanders",32,"OTHER","President"
"Manheim Twp - 20th Dist","total","Biden",224,"DEM","President"
"Manheim Twp - 20th Dist","total","Gabbard",5,"OTHER","President"
"Manheim Twp - 20th Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 21st Dist","total","Sanders",51,"OTHER","President"
"Manheim Twp - 21st Dist","total","Biden",251,"DEM","President"
"Manheim Twp - 21st Dist","total","Gabbard",2,"OTHER","President"
"Manheim Twp - 21st Dist","total","Write-In",2,"OTHER","President"
"Manheim Twp - 22nd Dist","total","Sanders",63,"OTHER","President"
"Manheim Twp - 22nd Dist","total","Biden",170,"DEM","President"
"Manheim Twp - 22nd Dist","total","Gabbard",1,"OTHER","President"
"Manheim Twp - 23rd Dist","total","Sanders",36,"OTHER","President"
"Manheim Twp - 23rd Dist","total","Biden",274,"DEM","President"
"Manheim Twp - 23rd Dist","total","Gabbard",5,"OTHER","President"
"Manheim Twp - 23rd Dist","total","Write-In",2,"OTHER","President"
"Manor Twp - Bethel Dist","total","Sanders",18,"OTHER","President"
"Manor Twp - Bethel Dist","total","Biden",105,"DEM","President"
"Manor Twp - Bethel Dist","total","Gabbard",1,"OTHER","President"
"Manor Twp - Bethel Dist","total","Write-In",1,"OTHER","President"
"Manor Twp - Hambright Dist","total","Sanders",81,"OTHER","President"
"Manor Twp - Hambright Dist","total","Biden",195,"DEM","President"
"Manor Twp - Hambright Dist","total","Gabbard",4,"OTHER","President"
"Manor Twp - Hambright Dist","total","Write-In",7,"OTHER","President"
"Manor Twp - Indiantown Dist","total","Sanders",18,"OTHER","President"
"Manor Twp - Indiantown Dist","total","Biden",66,"DEM","President"
"Manor Twp - Indiantown Dist","total","Gabbard",6,"OTHER","President"
